episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,collisions_0,collisions_1,collisions_2,ou_theta_0,ou_theta_1,ou_theta_2,ou_mu_0,ou_mu_1,ou_mu_2,ou_sigma_0,ou_sigma_1,ou_sigma_2,ou_dt_0,ou_dt_1,ou_dt_2,ou_x0_0,ou_x0_1,ou_x0_2
69,7,-0.10706736927344052,-71.54574141561139,0.13579911017958282,6787.340022495815,22126.833112444197,10464.504595075336,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
70,5,-0.04484718339828871,-100.18326965089597,0.1605958696302417,6618.629026794433,12852.38818359375,9942.267858886718,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
71,4,-0.09230488683493644,0.09586819543413568,-125.39983573355707,10202.996475219727,20331.75,3832.6412963867188,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
72,4,-0.07754199401958639,-125.40178248128305,-0.06507470373602009,3763.0815963745117,14539.670989990234,6683.149826049805,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
73,1,-0.06931299866204711,-500.92717301577284,0.06931299866204711,14401.6982421875,13926.2109375,15235.9267578125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
74,1,-0.058744923026128895,0.058744923026128895,-500.95262837733947,83.22325897216797,25979.3203125,7036.51220703125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
75,9,-0.07212458567380763,-55.64777396122308,0.08123210402061105,8135.189480251736,19497.256401909723,9257.346442328559,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
76,6,-0.09762481909682519,0.09762481909682519,-83.48963915640377,6521.03584543864,15061.807942708334,6325.764149983724,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
77,11,-0.09863614094159644,0.1068626203796559,-45.50297241215561,6426.224664167924,16934.32976740057,8471.061828613281,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
78,4,-0.06316035800360988,-0.013558915562916413,-125.20505679065431,5928.8903732299805,19585.75341796875,3891.1793060302734,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
79,2,-0.03895136499561783,-250.41926710675892,0.03895136499561783,11416.633056640625,7852.444580078125,7088.879638671875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
80,2,-0.0906029729511621,-250.88946146400767,0.0906029729511621,8524.25439453125,4255.961975097656,19299.73876953125,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
81,2,-0.14780127525356712,0.14780127525356712,-250.49582348182943,7564.054351806641,17272.634765625,7962.97607421875,0.0,0.0,0.0,0.15,0.15,0.15,[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],0.3,0.3,0.3,0.01,0.01,0.01,,,
